Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;163;139;187;100,0;30;30;0;163;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;215;187;243;100,0;30;30;0;215;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;215;187;243;100,0;30;30;0;215;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;163;139;187;100,0;30;30;0;163;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;378;326;430;100,0;30;30;0;378;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;83;71;95;100,0;31;31;0;83;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;109;94;124;100,0;31;31;0;109;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;109;94;124;100,0;31;31;0;109;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;83;71;95;100,0;31;31;0;83;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;193;167;219;100,0;31;31;0;193;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;146;124;168;100,0;31;31;0;146;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;198;167;229;100,0;31;31;0;198;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;198;167;229;100,0;31;31;0;198;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;146;124;168;100,0;31;31;0;146;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;344;291;397;100,0;31;31;0;344;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;169;147;191;100,0;30;30;0;169;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;227;195;259;100,0;30;30;0;227;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;227;195;259;100,0;30;30;0;227;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;169;147;191;100,0;30;30;0;169;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;396;342;450;100,0;30;30;0;396;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;109;89;129;100,0;31;31;0;109;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;153;127;179;100,0;31;31;0;153;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;153;127;179;100,0;31;31;0;153;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;109;89;129;100,0;31;31;0;109;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;262;216;308;100,0;31;31;0;262;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;94;79;109;96,7;30;29;1;94;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;138;117;159;96,7;30;29;1;138;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;138;117;159;96,7;30;29;1;138;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;94;79;109;96,7;30;29;1;94;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;232;195;269;96,7;30;29;1;232;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;58;44;72;100,0;31;31;0;58;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;78;59;97;100,0;31;31;0;78;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;78;59;97;100,0;31;31;0;78;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;58;44;72;100,0;31;31;0;58;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;136;104;168;100,0;31;31;0;136;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;70;56;84;100,0;31;31;0;70;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;78;63;93;100,0;31;31;0;78;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;78;63;93;100,0;31;31;0;78;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;70;56;84;100,0;31;31;0;70;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;148;119;177;100,0;31;31;0;148;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;58;44;72;100,0;28;28;0;58;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;79;62;96;100,0;28;28;0;79;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;79;62;96;100,0;28;28;0;79;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;58;44;72;100,0;28;28;0;58;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;137;106;168;100,0;28;28;0;137;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;41;31;51;100,0;31;31;0;41;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;48;36;60;100,0;31;31;0;48;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;48;36;60;100,0;31;31;0;48;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;41;31;51;100,0;31;31;0;41;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;89;68;110;100,0;31;31;0;89;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;76;55;97;100,0;30;30;0;76;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;114;84;144;100,0;30;30;0;114;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;114;84;144;100,0;30;30;0;114;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;76;55;97;100,0;30;30;0;76;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
