"","Trafikkregistreringspunkt","Navn","Vegreferanse","Fra","Til","År","Måned","Trafikkmengde","Konfidensintervall.start","Konfidensintervall.slutt","Dekningsgrad....","Antall.døgn.total","Antall.døgn.inkludert","Antall.døgn.ugyldig","Ikke.gyldig.lengde","Lengdekvalitetsgrad....","Felt","X..5.6m","X...5.6m","X5.6m...7.6m","X7.6m...12.5m","X12.5m...16.0m","X...16.0m","X16.0m...24.0m","X...24.0m"
"387","55092V1125799","Breivika","EV8 S2D1 m207","2023-03-01T00:00+01:00","2023-04-01T00:00+02:00",2023,3,2324,2076,2572,"100",31,31,0,0,"100","1",2252,72,30,28,8,6,6,0
"388","55092V1125799","Breivika","EV8 S2D1 m207","2023-03-01T00:00+01:00","2023-04-01T00:00+02:00",2023,3,4102,3732,4472,"100",31,31,0,0,"100","2",3849,252,73,124,50,5,5,0
"389","55092V1125799","Breivika","EV8 S2D1 m207","2023-03-01T00:00+01:00","2023-04-01T00:00+02:00",2023,3,7930,7187,8673,"100",31,31,0,3,"100","3",7005,921,254,345,268,54,52,2
"390","55092V1125799","Breivika","EV8 S2D1 m207","2023-03-01T00:00+01:00","2023-04-01T00:00+02:00",2023,3,5872,5279,6465,"100",31,31,0,0,"100","4",4973,899,395,291,182,30,28,2
"391","55092V1125799","Breivika","EV8 S2D1 m207","2023-03-01T00:00+01:00","2023-04-01T00:00+02:00",2023,3,10254,9269,11239,"100",31,31,0,3,"100","Totalt i retning RITØ",9257,994,284,373,276,60,58,2
"392","55092V1125799","Breivika","EV8 S2D1 m207","2023-03-01T00:00+01:00","2023-04-01T00:00+02:00",2023,3,9974,9018,10930,"100",31,31,0,1,"100","Totalt i retning Breivikatunnelen",8822,1151,468,415,232,35,33,2
"393","55092V1125799","Breivika","EV8 S2D1 m207","2023-03-01T00:00+01:00","2023-04-01T00:00+02:00",2023,3,20228,18288,22168,"100",31,31,0,4,"100","Totalt",18079,2145,752,788,508,97,92,5
"394","55092V1125799","Breivika","EV8 S2D1 m207","2023-04-01T00:00+02:00","2023-05-01T00:00+02:00",2023,4,1965,1657,2273,"100",30,30,0,0,"100","1",1915,50,21,20,5,4,4,0
"395","55092V1125799","Breivika","EV8 S2D1 m207","2023-04-01T00:00+02:00","2023-05-01T00:00+02:00",2023,4,3903,3342,4464,"100",30,30,0,1,"100","2",3688,215,58,105,45,6,6,0
"396","55092V1125799","Breivika","EV8 S2D1 m207","2023-04-01T00:00+02:00","2023-05-01T00:00+02:00",2023,4,7126,6087,8165,"100",30,30,0,1,"100","3",6362,763,237,275,200,51,48,3
"397","55092V1125799","Breivika","EV8 S2D1 m207","2023-04-01T00:00+02:00","2023-05-01T00:00+02:00",2023,4,4965,4204,5726,"100",30,30,0,0,"100","4",4308,658,320,194,123,20,19,1
"398","55092V1125799","Breivika","EV8 S2D1 m207","2023-04-01T00:00+02:00","2023-05-01T00:00+02:00",2023,4,9091,7745,10437,"100",30,30,0,1,"100","Totalt i retning RITØ",8277,813,258,295,204,55,52,3
"399","55092V1125799","Breivika","EV8 S2D1 m207","2023-04-01T00:00+02:00","2023-05-01T00:00+02:00",2023,4,8868,7549,10187,"100",30,30,0,1,"100","Totalt i retning Breivikatunnelen",7995,872,378,300,168,26,24,2
"400","55092V1125799","Breivika","EV8 S2D1 m207","2023-04-01T00:00+02:00","2023-05-01T00:00+02:00",2023,4,17959,15295,20623,"100",30,30,0,1,"100","Totalt",16272,1685,636,595,373,80,76,4
"401","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,6133,5458,6808,"100",31,31,0,0,"100","1",5626,507,220,158,95,33,32,1
"402","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,6091,5412,6770,"100",31,31,0,0,"100","2",5722,368,115,141,92,21,21,0
"403","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-01-01T00:00+01:00","2022-02-01T00:00+01:00",2022,1,6134,5459,6809,"100",31,31,0,0,"100","Totalt i retning Sentrum",5627,507,220,158,95,33,32,1
